table_schema,table_name,column_name
public,staff,staff_id
public,staff,first_name
public,staff,last_name
public,staff,address_id
public,staff,email
public,staff,store_id
public,staff,active
public,staff,username
public,staff,password
public,staff,last_update
public,staff,picture
public,category,category_id
public,category,name
public,category,last_update
public,film_category,film_id
public,film_category,category_id
public,film_category,last_update
public,country,country_id
public,country,country
public,country,last_update
public,actor,actor_id
public,actor,first_name
public,actor,last_name
public,actor,last_update
public,language,language_id
public,language,name
public,language,last_update
public,inventory,inventory_id
public,inventory,film_id
public,inventory,store_id
public,inventory,last_update
public,payment,payment_id
public,payment,customer_id
public,payment,staff_id
public,payment,rental_id
public,payment,amount
public,payment,payment_date
public,rental,rental_id
public,rental,rental_date
public,rental,inventory_id
public,rental,customer_id
public,rental,return_date
public,rental,staff_id
public,rental,last_update
public,city,city_id
public,city,city
public,city,country_id
public,city,last_update
public,store,store_id
public,store,manager_staff_id
public,store,address_id
public,store,last_update
public,film,film_id
public,film,title
public,film,description
public,film,release_year
public,film,language_id
public,film,rental_duration
public,film,rental_rate
public,film,length
public,film,replacement_cost
public,film,rating
public,film,last_update
public,film,special_features
public,film,fulltext
public,address,address_id
public,address,address
public,address,address2
public,address,district
public,address,city_id
public,address,postal_code
public,address,phone
public,address,last_update
public,film_actor,actor_id
public,film_actor,film_id
public,film_actor,last_update
public,customer,customer_id
public,customer,store_id
public,customer,first_name
public,customer,last_name
public,customer,email
public,customer,address_id
public,customer,activebool
public,customer,create_date
public,customer,last_update
public,customer,active
